day_of_week,total_energy_kwh,average_energy_kwh,readings
Friday,27787.460999699895,0.21943821369106764,126630
Monday,29444.123998199742,0.23269733034757253,126534
Saturday,27310.968999799887,0.2157929298899336,126561
Sunday,29749.807995199597,0.23497388017597168,126609
Thursday,29252.096997499862,0.22922685168714432,127612
Tuesday,28586.677001199638,0.22591020231705103,126540
Wednesday,28821.092994499722,0.22688057335553027,127032
